09 0c 2c - or [rsp + rbp], ecx
09 0c 2d xx xx xx xx - or [rbp + x], ecx
09 0c 2e - or [rsi + rbp], ecx
09 0c 2f - or [rdi + rbp], ecx
09 0c 30 - or [rax + rsi], ecx
09 0c 31 - or [rcx + rsi], ecx
09 0c 32 - or [rdx + rsi], ecx
09 0c 33 - or [rbx + rsi], ecx
09 0c 34 - or [rsp + rsi], ecx
09 0c 35 xx xx xx xx - or [rsi + x], ecx
09 0c 36 - or [rsi + rsi], ecx
09 0c 37 - or [rdi + rsi], ecx
09 0c 38 - or [rax + rdi], ecx
09 0c 39 - or [rcx + rdi], ecx
09 0c 3a - or [rdx + rdi], ecx
09 0c 3b - or [rbx + rdi], ecx
09 0c 3c - or [rsp + rdi], ecx
09 0c 3d xx xx xx xx - or [rdi + x], ecx
09 0c 3e - or [rsi + rdi], ecx
09 0c 3f - or [rdi + rdi], ecx
09 0c 40 - or [rax + rax * 2], ecx
09 0c 41 - or [rcx + rax * 2], ecx
09 0c 42 - or [rdx + rax * 2], ecx
09 0c 43 - or [rbx + rax * 2], ecx
09 0c 44 - or [rsp + rax * 2], ecx
09 0c 45 xx xx xx xx - or [rax * 2 + x], ecx
09 0c 46 - or [rsi + rax * 2], ecx
09 0c 47 - or [rdi + rax * 2], ecx
09 0c 48 - or [rax + rcx * 2], ecx
09 0c 49 - or [rcx + rcx * 2], ecx
09 0c 4a - or [rdx + rcx * 2], ecx
09 0c 4b - or [rbx + rcx * 2], ecx
09 0c 4c - or [rsp + rcx * 2], ecx
09 0c 4d xx xx xx xx - or [rcx * 2 + x], ecx
09 0c 4e - or [rsi + rcx * 2], ecx
09 0c 4f - or [rdi + rcx * 2], ecx
09 0c 50 - or [rax + rdx * 2], ecx
09 0c 51 - or [rcx + rdx * 2], ecx
09 0c 52 - or [rdx + rdx * 2], ecx
09 0c 53 - or [rbx + rdx * 2], ecx
09 0c 54 - or [rsp + rdx * 2], ecx
09 0c 55 xx xx xx xx - or [rdx * 2 + x], ecx
09 0c 56 - or [rsi + rdx * 2], ecx
09 0c 57 - or [rdi + rdx * 2], ecx
09 0c 58 - or [rax + rbx * 2], ecx
09 0c 59 - or [rcx + rbx * 2], ecx
09 0c 5a - or [rdx + rbx * 2], ecx
09 0c 5b - or [rbx + rbx * 2], ecx
09 0c 5c - or [rsp + rbx * 2], ecx
09 0c 5d xx xx xx xx - or [rbx * 2 + x], ecx
09 0c 5e - or [rsi + rbx * 2], ecx
09 0c 5f - or [rdi + rbx * 2], ecx
09 0c 60 - or [rax], ecx
09 0c 61 - or [rcx], ecx
09 0c 62 - or [rdx], ecx
09 0c 63 - or [rbx], ecx
09 0c 64 - or [rsp], ecx
09 0c 65 xx xx xx xx - or [x], ecx
09 0c 66 - or [rsi], ecx
09 0c 67 - or [rdi], ecx
09 0c 68 - or [rax + rbp * 2], ecx
09 0c 69 - or [rcx + rbp * 2], ecx
09 0c 6a - or [rdx + rbp * 2], ecx
09 0c 6b - or [rbx + rbp * 2], ecx
09 0c 6c - or [rsp + rbp * 2], ecx
09 0c 6d xx xx xx xx - or [rbp * 2 + x], ecx
09 0c 6e - or [rsi + rbp * 2], ecx
09 0c 6f - or [rdi + rbp * 2], ecx
09 0c 70 - or [rax + rsi * 2], ecx
09 0c 71 - or [rcx + rsi * 2], ecx
09 0c 72 - or [rdx + rsi * 2], ecx
09 0c 73 - or [rbx + rsi * 2], ecx
09 0c 74 - or [rsp + rsi * 2], ecx
