08 14 45 xx xx xx xx - or [rax * 2 + x], dl
08 14 46 - or [rsi + rax * 2], dl
08 14 47 - or [rdi + rax * 2], dl
08 14 48 - or [rax + rcx * 2], dl
08 14 49 - or [rcx + rcx * 2], dl
08 14 4a - or [rdx + rcx * 2], dl
08 14 4b - or [rbx + rcx * 2], dl
08 14 4c - or [rsp + rcx * 2], dl
08 14 4d xx xx xx xx - or [rcx * 2 + x], dl
08 14 4e - or [rsi + rcx * 2], dl
08 14 4f - or [rdi + rcx * 2], dl
08 14 50 - or [rax + rdx * 2], dl
08 14 51 - or [rcx + rdx * 2], dl
08 14 52 - or [rdx + rdx * 2], dl
08 14 53 - or [rbx + rdx * 2], dl
08 14 54 - or [rsp + rdx * 2], dl
08 14 55 xx xx xx xx - or [rdx * 2 + x], dl
08 14 56 - or [rsi + rdx * 2], dl
08 14 57 - or [rdi + rdx * 2], dl
08 14 58 - or [rax + rbx * 2], dl
08 14 59 - or [rcx + rbx * 2], dl
08 14 5a - or [rdx + rbx * 2], dl
08 14 5b - or [rbx + rbx * 2], dl
08 14 5c - or [rsp + rbx * 2], dl
08 14 5d xx xx xx xx - or [rbx * 2 + x], dl
08 14 5e - or [rsi + rbx * 2], dl
08 14 5f - or [rdi + rbx * 2], dl
08 14 60 - or [rax], dl
08 14 61 - or [rcx], dl
08 14 62 - or [rdx], dl
08 14 63 - or [rbx], dl
08 14 64 - or [rsp], dl
08 14 65 xx xx xx xx - or [x], dl
08 14 66 - or [rsi], dl
08 14 67 - or [rdi], dl
08 14 68 - or [rax + rbp * 2], dl
08 14 69 - or [rcx + rbp * 2], dl
08 14 6a - or [rdx + rbp * 2], dl
08 14 6b - or [rbx + rbp * 2], dl
08 14 6c - or [rsp + rbp * 2], dl
08 14 6d xx xx xx xx - or [rbp * 2 + x], dl
08 14 6e - or [rsi + rbp * 2], dl
08 14 6f - or [rdi + rbp * 2], dl
08 14 70 - or [rax + rsi * 2], dl
08 14 71 - or [rcx + rsi * 2], dl
08 14 72 - or [rdx + rsi * 2], dl
